genre,actor,avgRate,hitRatio,totalMovies,normalizedRating
romance,Govinda,4.78,0.6799999999999999,16,0.53
adventure,Govinda,2.0,0.0,1,0.03
drama,Govinda,1.4444444444444444,0.0,5,0.02
musical,Govinda,2.0,0.0,2,0.05
action,Govinda,2.0,0.0,7,0.04
comedy,Govinda,3.258461538461538,0.3161538461538462,32,0.35
crime,Govinda,1.75,0.0,3,0.04
mystery,Govinda,6.0,1.0,1,0.6
romance,Aishwarya Rai Bachchan,2.2761904761904757,0.1619047619047619,19,0.28
adventure,Aishwarya Rai Bachchan,3.5,0.0,2,0.06
drama,Aishwarya Rai Bachchan,2.5630952380952383,0.18373015873015872,34,0.26
musical,Aishwarya Rai Bachchan,6.0,1.0,2,0.6
action,Aishwarya Rai Bachchan,3.8666666666666667,0.1,8,0.1
comedy,Aishwarya Rai Bachchan,1.6666666666666667,0.0,3,0.02
biography,Aishwarya Rai Bachchan,5.5,0.5,2,0.73
crime,Aishwarya Rai Bachchan,2.75,0.0,3,0.04
thriller,Aishwarya Rai Bachchan,8.0,1.0,1,0.57
romance,Jackie Shroff,1.94,0.10666666666666666,16,0.22
adventure,Jackie Shroff,2.5,0.0,3,0.1
drama,Jackie Shroff,1.7239583333333333,0.0,38,0.17
musical,Jackie Shroff,2.8125,0.125,9,0.27
action,Jackie Shroff,1.8011904761904762,0.0,24,0.13
comedy,Jackie Shroff,1.1666666666666667,0.0,10,0.06
crime,Jackie Shroff,1.4555555555555557,0.0,10,0.12
family,Jackie Shroff,1.0,0.0,3,0.27
mystery,Jackie Shroff,2.0,0.0,1,0.05
thriller,Jackie Shroff,1.611111111111111,0.0,6,0.1
romance,Namrata Shirodkar,2.0,0.0,2,0.02
drama,Namrata Shirodkar,1.0,0.0,6,0.03
action,Namrata Shirodkar,1.0,0.0,1,0.01
comedy,Namrata Shirodkar,1.0,0.0,1,0.01
crime,Namrata Shirodkar,1.0,0.0,1,0.01
romance,Aamir Khan,7.0,1.0,1,0.56
adventure,Aamir Khan,6.0,1.0,1,0.58
drama,Aamir Khan,5.954761904761905,0.6809523809523809,32,0.52
musical,Aamir Khan,6.75,1.0,3,0.62
action,Aamir Khan,8.5,1.0,2,0.56
comedy,Aamir Khan,7.333333333333332,0.6666666666666666,3,0.38
biography,Aamir Khan,2.0,0.0,1,0.22
crime,Aamir Khan,8.0,0.75,3,0.45
family,Aamir Khan,7.0,1.0,1,0.64
mystery,Aamir Khan,6.5,0.5,2,0.38
thriller,Aamir Khan,9.0,1.0,1,0.57
fantasy,Aamir Khan,9.0,1.0,1,0.61
history,Aamir Khan,2.0,0.0,1,0.15
romance,Gracy Singh,1.3333333333333333,0.0,3,0.03
