genre,count,mean,std,min,25%,50%,75%,max
romance,372.0,135.86559139784947,68.5103191229901,10.0,75.0,138.0,197.25,249.0
adventure,60.0,154.11666666666667,64.89942457937869,27.0,100.75,153.5,215.25,250.0
drama,794.0,132.88413098236776,70.864267715848,10.0,68.25,136.5,196.0,250.0
musical,100.0,122.98,70.98441712620787,10.0,61.0,119.0,186.0,250.0
action,300.0,130.97666666666666,68.19387168953614,11.0,74.5,133.5,188.25,250.0
comedy,447.0,131.63758389261744,69.22422928864384,10.0,70.0,133.0,190.5,250.0
biography,13.0,160.30769230769232,76.32319941689269,27.0,97.0,190.0,223.0,240.0
crime,242.0,127.19834710743801,69.5310456149665,12.0,62.5,130.0,188.75,250.0
family,47.0,123.53191489361703,73.96293168638445,10.0,57.5,111.0,197.5,240.0
mystery,78.0,141.24358974358975,69.30980438833299,13.0,87.0,145.0,199.75,250.0
thriller,205.0,132.50243902439024,69.47976319779738,10.0,75.0,135.0,194.0,250.0
fantasy,24.0,121.375,73.77274888643414,11.0,72.0,98.0,169.75,246.0
music,6.0,93.5,87.52999485890537,11.0,21.5,85.0,126.75,239.0
documentary,2.0,198.0,36.76955262170047,172.0,185.0,198.0,211.0,224.0
war,12.0,148.58333333333334,73.77787095345218,23.0,97.5,165.0,186.75,250.0
history,14.0,117.92857142857143,91.67540084929611,10.0,32.0,92.0,216.75,237.0
horror,60.0,132.4,67.05631329369646,12.0,90.5,128.0,184.75,250.0
sci-fi,10.0,113.4,50.759126163566776,32.0,78.75,102.5,153.5,203.0
animation,22.0,145.95454545454547,71.13131871520801,18.0,111.25,134.0,206.75,249.0
sport,14.0,164.5,65.13624773680758,12.0,154.0,175.0,214.25,227.0
western,1.0,117.0,,117.0,117.0,117.0,117.0,117.0
short,1.0,143.0,,143.0,143.0,143.0,143.0,143.0
