name,year,Hit,Flop,HitPercentage
Aamir Khan,2001-01-01,1,1,0.5
Shah Rukh Khan,2001-01-01,1,1,0.5
Salman Khan,2001-01-01,1,0,1.0
Katrina Kaif,2001-01-01,0,0,0.0
Deepika Padukone,2001-01-01,0,0,0.0
Hrithik Roshan,2001-01-01,0,1,0.0
Priyanka Chopra,2001-01-01,0,0,0.0
Kareena Kapoor,2001-01-01,1,2,0.3333333333333333
Ranbir Kapoor,2001-01-01,0,0,0.0
Kajol,2001-01-01,1,1,0.5
John Abraham,2001-01-01,0,0,0.0
Amitabh Bachchan,2001-01-01,1,1,0.5
Sonakshi Sinha,2001-01-01,0,0,0.0
Alia Bhatt,2001-01-01,0,0,0.0
Ajay Devgn,2001-01-01,0,2,0.0
Asin,2001-01-01,0,0,0.0
Farhan Akhtar,2001-01-01,0,0,0.0
Arjun Kapoor,2001-01-01,0,0,0.0
Akshay Kumar,2001-01-01,0,1,0.0
Anushka Sharma,2001-01-01,0,0,0.0
Vidya Balan,2001-01-01,0,0,0.0
Aishwarya Rai Bachchan,2001-01-01,0,1,0.0
Ranveer Singh,2001-01-01,0,0,0.0
Vir Das,2001-01-01,0,0,0.0
Shahid Kapoor,2001-01-01,0,0,0.0
Saif Ali Khan,2001-01-01,0,3,0.0
Anil Kapoor,2001-01-01,0,2,0.0
Prakash Raj,2001-01-01,0,0,0.0
Sonam Kapoor,2001-01-01,0,0,0.0
Sanjay Kapoor,2001-01-01,0,0,0.0
Jacqueline Fernandez,2001-01-01,0,0,0.0
Abhishek Bachchan,2001-01-01,0,1,0.0
Imran Khan,2001-01-01,0,0,0.0
Rekha,2001-01-01,0,4,0.0
Tabu,2001-01-01,1,1,0.5
Madhavan,2001-01-01,0,1,0.0
Sanjay Dutt,2001-01-01,1,0,1.0
Parineeti Chopra,2001-01-01,0,0,0.0
Madhuri Dixit,2001-01-01,0,2,0.0
Preity Zinta,2001-01-01,1,3,0.25
Govinda,2001-01-01,1,3,0.25
Emraan Hashmi,2001-01-01,0,0,0.0
Bipasha Basu,2001-01-01,0,1,0.0
Uday Chopra,2001-01-01,0,0,0.0
Aditya Roy Kapoor,2001-01-01,0,0,0.0
Ritesh Deshmukh,2001-01-01,0,0,0.0
Rishi Kapoor,2001-01-01,0,1,0.0
Kangana Ranaut,2001-01-01,0,0,0.0
Dia Mirza,2001-01-01,0,2,0.0
Amrish Puri,2001-01-01,3,2,0.6
Amrita Rao,2001-01-01,0,0,0.0
Lara Dutta,2001-01-01,0,0,0.0
Om Puri,2001-01-01,0,2,0.0
Kiron Kher,2001-01-01,0,0,0.0
Mallika Sherawat,2001-01-01,0,0,0.0
Sonu Sood,2001-01-01,0,0,0.0
Nana Patekar,2001-01-01,0,0,0.0
Vinod Khanna,2001-01-01,0,1,0.0
Kalki Koechlin,2001-01-01,0,0,0.0
Rani Mukerji,2001-01-01,1,2,0.3333333333333333
Rajkummar Rao,2001-01-01,0,0,0.0
Tusshar Kapoor,2001-01-01,1,0,1.0
Arjun Rampal,2001-01-01,0,2,0.0
Paresh Rawal,2001-01-01,0,1,0.0
Supriya Pathak,2001-01-01,0,0,0.0
Nawazuddin Siddiqui,2001-01-01,0,0,0.0
Naseeruddin Shah,2001-01-01,0,2,0.0
Randeep Hooda,2001-01-01,0,0,0.0
Jaya Bhaduri,2001-01-01,1,0,1.0
Karisma Kapoor,2001-01-01,0,1,0.0
Sharman Joshi,2001-01-01,1,0,1.0
Boman Irani,2001-01-01,0,0,0.0
Satish Shah,2001-01-01,0,0,0.0
Arshad Warsi,2001-01-01,0,1,0.0
Raj Babbar,2001-01-01,1,1,0.5
Shilpa Shetty,2001-01-01,0,0,0.0
Vivek Oberoi,2001-01-01,0,0,0.0
Anupam Kher,2001-01-01,0,0,0.0
Sameera Reddy,2001-01-01,0,0,0.0
Sunny Deol,2001-01-01,1,2,0.3333333333333333
Shraddha Kapoor,2001-01-01,0,0,0.0
Akshaye Khanna,2001-01-01,0,1,0.0
Manish Chaudhary,2001-01-01,0,0,0.0
Sunil Shetty,2001-01-01,0,4,0.0
Sohail Khan,2001-01-01,0,0,0.0
Esha Deol,2001-01-01,0,0,0.0
Pavan Malhotra,2001-01-01,0,0,0.0
Sonali Kulkarni,2001-01-01,0,1,0.0
Rimi Sen,2001-01-01,0,0,0.0
Sushmita Sen,2001-01-01,0,1,0.0
Gracy Singh,2001-01-01,1,0,1.0
Kunal Khemu,2001-01-01,0,0,0.0
Juhi Chawla,2001-01-01,0,2,0.0
Vinay Pathak,2001-01-01,0,0,0.0
Dharmendra,2001-01-01,0,1,0.0
